Country,Disaster Type,Total Deaths,Disaster_Occurred
Indonesia,Water,130.0,1
Mongolia,Wildfire,,1
Philippines,Flood,28.0,1
Uganda,Epidemic,197.0,1
Belgium,Fire (Miscellaneous),13.0,1
Philippines,Epidemic,21.0,1
India,Epidemic,58.0,1
Türkiye,Poisoning,23.0,1
India,Storm,16.0,1
Norway,Water,160.0,1
India,Extreme temperature,178.0,1
Spain,Water,20.0,1
Türkiye,Flood,18.0,1
Türkiye,Fire (Miscellaneous),8.0,1
Thailand,Road,91.0,1
Argentina,Flood,21.0,1
Chile,Flood,,1
Cuba,Flood,4.0,1
Belize,Extreme temperature,,1
Belize,Flood,,1
Canada,Flood,8.0,1
Philippines,Flood,50.0,1
Colombia,Flood,,1
Colombia,Flood,,1
Colombia,Flood,,1
Colombia,Flood,10.0,1
Philippines,Storm,,1
Taiwan (Province Of China),Storm,,1
Germany Federal Republic,Rail,16.0,1
Poland,Rail,16.0,1
Georgia,Miscellaneous accident (General),15.0,1
China,Storm,2.0,1
China,Flood,60.0,1
Portugal,Road,15.0,1
Cook Islands,Epidemic,7.0,1
Indonesia,Earthquake,,1
United States Of America,Earthquake,,1
South Africa,Earthquake,10.0,1
Bangladesh,Extreme temperature,50.0,1
United States Of America,Flood,3.0,1
United States Of America,Flood,,1
Indonesia,Flood,22.0,1
Brazil,Flood,7.0,1
Soviet Union,Flood,,1
Soviet Union,Flood,,1
United States Of America,Flood,,1
India,Flood,21.0,1
China,Storm,33.0,1
Belgium,Storm,10.0,1
Germany,Storm,8.0,1
Denmark,Storm,2.0,1
Finland,Storm,,1
France,Storm,,1
United Kingdom Of Great Britain And Northern Ireland,Storm,47.0,1
Ireland,Storm,,1
Luxembourg,Storm,,1
Netherlands (Kingdom Of The),Storm,20.0,1
Norway,Storm,,1
Poland,Storm,,1
Sweden,Storm,,1
Belgium,Storm,,1
Germany,Storm,7.0,1
France,Storm,23.0,1
United Kingdom Of Great Britain And Northern Ireland,Storm,,1
Luxembourg,Storm,,1
Netherlands (Kingdom Of The),Storm,,1
Belgium,Storm,,1
Germany,Storm,,1
France,Storm,,1
United Kingdom Of Great Britain And Northern Ireland,Storm,,1
Luxembourg,Storm,,1
Netherlands (Kingdom Of The),Storm,,1
France,Storm,,1
United Kingdom Of Great Britain And Northern Ireland,Storm,,1
Ireland,Storm,1.0,1
Austria,Storm,,1
Belgium,Storm,,1
Switzerland,Storm,3.0,1
Germany,Storm,10.0,1
Spain,Storm,1.0,1
France,Storm,,1
Luxembourg,Storm,,1
Netherlands (Kingdom Of The),Storm,,1
Austria,Storm,,1
Belgium,Storm,5.0,1
Switzerland,Storm,1.0,1
Germany,Storm,15.0,1
Denmark,Storm,,1
Finland,Storm,,1
France,Storm,10.0,1
United Kingdom Of Great Britain And Northern Ireland,Storm,18.0,1
Ireland,Storm,1.0,1
Luxembourg,Storm,,1
Netherlands (Kingdom Of The),Storm,,1
Norway,Storm,,1
Sweden,Storm,,1
Austria,Storm,3.0,1
Belgium,Storm,1.0,1
Switzerland,Storm,1.0,1
Germany,Storm,24.0,1
Denmark,Storm,1.0,1
France,Storm,10.0,1
United Kingdom Of Great Britain And Northern Ireland,Storm,18.0,1
Greece,Storm,3.0,1
Italy,Storm,6.0,1
Luxembourg,Storm,,1
Netherlands (Kingdom Of The),Storm,,1
Australia,Flood,6.0,1
Soviet Union,Road,56.0,1
Spain,Drought,,1
Bolivia (Plurinational State Of),Drought,,1
Peru,Drought,,1
Sudan,Drought,,1
Burkina Faso,Drought,,1
Cameroon,Drought,,1
Greece,Drought,,1
Niger,Drought,,1
Botswana,Drought,,1
Lesotho,Drought,,1
Mozambique,Drought,,1
Malawi,Drought,,1
Namibia,Drought,,1
Eswatini,Drought,,1
United Republic Of Tanzania,Drought,,1
South Africa,Drought,,1
Zambia,Drought,,1
Zimbabwe,Drought,,1
Philippines,Drought,,1
Yugoslavia,Drought,,1
Myanmar,Earthquake,,1
Poland,Water,10.0,1
United Kingdom Of Great Britain And Northern Ireland,Rail,1.0,1
United Kingdom Of Great Britain And Northern Ireland,Storm,48.0,1
Germany,Storm,,1
Ireland,Storm,,1
Afghanistan,Extreme temperature,80.0,1
Indonesia,Mass movement (wet),33.0,1
South Africa,Miscellaneous accident (General),40.0,1
Canada,Water,33.0,1
Chile,Air,20.0,1
Japan,Radiation,,1
France,Extreme temperature,20.0,1
United States Of America,Air,34.0,1
Mexico,Industrial accident (General),,1
Brazil,Miscellaneous accident (General),241.0,1
Bangladesh,Water,50.0,1
Pakistan,Mass movement (wet),25.0,1
Iran (Islamic Republic Of),Flood,6.0,1
Afghanistan,Flood,415.0,1
Afghanistan,Earthquake,130.0,1
Pakistan,Earthquake,300.0,1
Soviet Union,Earthquake,3.0,1
Greece,Extreme temperature,5.0,1
Peru,Epidemic,1726.0,1
Thailand,Explosion (Miscellaneous),171.0,1
Greece,Air,66.0,1
Madagascar,Water,36.0,1
United Republic Of Tanzania,Water,64.0,1
Soviet Union,Fire (Miscellaneous),17.0,1
China,Earthquake,,1
Mexico,Miscellaneous accident (General),42.0,1
Saudi Arabia,Chemical spill,,1
Guatemala,Mass movement (dry),23.0,1
South Africa,Wildfire,5.0,1
Malawi,Flood,472.0,1
China,Storm,69.0,1
Mexico,Explosion (Industrial),2.0,1
Philippines,Fire (Industrial),13.0,1
Venezuela (Bolivarian Republic Of),Air,43.0,1
Mexico,Chemical spill,,1
Soviet Union,Earthquake,,1
Venezuela (Bolivarian Republic Of),Water,13.0,1
United States Of America,Air,25.0,1
Mozambique,Rail,109.0,1
Papua New Guinea,Mass movement (wet),200.0,1
Mexico,Road,18.0,1
Zambia,Epidemic,,1
United States Of America,Air,23.0,1
Peru,Earthquake,53.0,1
Saudi Arabia,Air,98.0,1
United States Of America,Air,26.0,1
India,Air,28.0,1
Japan,Collapse (Miscellaneous),14.0,1
Afghanistan,Collapse (Miscellaneous),40.0,1
Philippines,Volcanic activity,,1
Nigeria,Fire (Industrial),14.0,1
Philippines,Road,12.0,1
Cuba,Rail,55.0,1
Uganda,Epidemic,100.0,1
Indonesia,Epidemic,55.0,1
Ethiopia,Mass movement (dry),13.0,1
Bangladesh,Epidemic,1000.0,1
Philippines,Volcanic activity,,1
China,Earthquake,1.0,1
Denmark,Miscellaneous accident (General),,1
China,Road,19.0,1
Niger,Epidemic,2618.0,1
Sudan,Epidemic,12.0,1
Democratic Republic Of The Congo,Epidemic,500.0,1
Egypt,Flood,1.0,1
Soviet Union,Air,31.0,1
Morocco,Road,44.0,1
Taiwan (Province Of China),Chemical spill,,1
Italy,Water,140.0,1
Thailand,Air,14.0,1
Türkiye,Road,36.0,1
France,Air,10.0,1
Myanmar,Fire (Miscellaneous),27.0,1
China,Road,15.0,1
Brazil,Flood,20.0,1
Egypt,Water,24.0,1
Costa Rica,Earthquake,47.0,1
Panama,Earthquake,30.0,1
Soviet Union,Earthquake,270.0,1
Uruguay,Flood,,1
Indonesia,Air,13.0,1
Bangladesh,Storm,138866.0,1
Georgia,Earthquake,8.0,1
China,Flood,1729.0,1
Indonesia,Earthquake,,1
Mauritius,Storm,,1
Colombia,Wildfire,,1
Thailand,Explosion (Industrial),63.0,1
Jamaica,Flood,15.0,1
Colombia,Mass movement (wet),45.0,1
Afghanistan,Flood,728.0,1
Maldives,Storm,,1
Philippines,Volcanic activity,640.0,1
Brazil,Epidemic,196.0,1
Chile,Epidemic,1.0,1
Colombia,Epidemic,350.0,1
Ecuador,Epidemic,343.0,1
Australia,Storm,,1
Bangladesh,Miscellaneous accident (General),50.0,1
Dominican Republic,Flood,10.0,1
Türkiye,Road,16.0,1
United States Of America,Air,10.0,1
Indonesia,Water,63.0,1
United States Of America,Gas leak,,1
Nigeria,Epidemic,7289.0,1
Indonesia,Epidemic,115.0,1
Soviet Union,Mass movement (dry),50.0,1
Mexico,Explosion (Industrial),,1
Pakistan,Road,70.0,1
Peru,Water,150.0,1
India,Water,42.0,1
Soviet Union,Flood,,1
Algeria,Epidemic,,1
Bangladesh,Road,55.0,1
Indonesia,Earthquake,28.0,1
Myanmar,Flood,23.0,1
Benin,Flood,3.0,1
Bangladesh,Flood,,1
China,Storm,100.0,1
Romania,Flood,108.0,1
Peru,Earthquake,11.0,1
Philippines,Storm,2.0,1
Colombia,Mass movement (wet),50.0,1
Republic Of Korea,Flood,54.0,1
Mexico,Epidemic,52.0,1
Indonesia,Road,10.0,1
Saudi Arabia,Air,261.0,1
China,Epidemic,1075.0,1
Niger,Epidemic,224.0,1
Ghana,Flood,5.0,1
India,Flood,59.0,1
United States Of America,Earthquake,2.0,1
Nigeria,Road,52.0,1
Philippines,Road,14.0,1
Comoros,Volcanic activity,,1
Kenya,Water,174.0,1
Costa Rica,Flood,1.0,1
Viet Nam,Storm,17.0,1
Cambodia,Flood,100.0,1
Chile,Volcanic activity,,1
Panama,Flood,12.0,1
India,Air,69.0,1
China,Rail,12.0,1
Peru,Epidemic,8000.0,1
United States Of America,Storm,18.0,1
"China, Hong Kong Special Administrative Region",Storm,22.0,1
Taiwan (Province Of China),Storm,33.0,1
India,Road,20.0,1
Bangladesh,Flood,65.0,1
China,Storm,14.0,1
China,Mass movement (wet),200.0,1
China,Flood,26.0,1
Japan,Volcanic activity,43.0,1
Viet Nam,Flood,21.0,1
Guatemala,Earthquake,14.0,1
Mexico,Rail,11.0,1
Iraq,Earthquake,20.0,1
Burkina Faso,Epidemic,37.0,1
Angola,Air,11.0,1
Thailand,Air,223.0,1
Soviet Union,Air,10.0,1
Japan,Rail,42.0,1
Soviet Union,Air,13.0,1
Soviet Union,Explosion (Industrial),31.0,1
France,Fire (Miscellaneous),20.0,1
Chile,Mass movement (wet),141.0,1
China,Water,54.0,1
Nepal,Road,20.0,1
France,Fire (Industrial),,1
Republic Of Korea,Road,10.0,1
Colombia,Air,10.0,1
Cameroon,Epidemic,308.0,1
Chad,Epidemic,1262.0,1
Chile,Miscellaneous accident (General),9.0,1
Japan,Rail,,1
Greece,Gas leak,,1
Venezuela (Bolivarian Republic Of),Fire (Industrial),16.0,1
Pakistan,Water,40.0,1
Peru,Extreme temperature,25.0,1
India,Flood,72.0,1
Pakistan,Extreme temperature,523.0,1
Pakistan,Rail,100.0,1
Viet Nam,Collapse (Industrial),300.0,1
Iran (Islamic Republic Of),Earthquake,,1
Chad,Flood,39.0,1
Cameroon,Flood,2.0,1
China,Explosion (Miscellaneous),16.0,1
Costa Rica,Volcanic activity,,1
Costa Rica,Earthquake,,1
Spain,Wildfire,,1
Austria,Flood,5.0,1
Germany,Flood,5.0,1
India,Road,20.0,1
Austria,Road,13.0,1
Zimbabwe,Road,87.0,1
South Africa,Water,,1
Soviet Union,Storm,41.0,1
Australia,Fire (Miscellaneous),12.0,1
United Kingdom Of Great Britain And Northern Ireland,Fire (Industrial),,1
India,Poisoning,11.0,1
Viet Nam,Flood,38.0,1
Sri Lanka,Flood,27.0,1
Philippines,Water,11.0,1
Colombia,Mass movement (wet),10.0,1
China,Fire (Industrial),66.0,1
Mexico,Fire (Miscellaneous),17.0,1
Bangladesh,Storm,121.0,1
Ethiopia,Explosion (Industrial),100.0,1
India,Flood,30.0,1
Jordan,Flood,8.0,1
Madagascar,Storm,36.0,1
Malaysia,Explosion (Industrial),56.0,1
Mongolia,Storm,6.0,1
Nigeria,Epidemic,400.0,1
Somalia,Water,130.0,1
Thailand,Explosion (Industrial),9.0,1
China,Road,54.0,1
China,Gas leak,30.0,1
Bangladesh,Miscellaneous accident (General),,1
Bangladesh,Epidemic,1700.0,1
Myanmar,Poisoning,28.0,1
Indonesia,Air,133.0,1
Samoa,Storm,13.0,1
India,Poisoning,86.0,1
India,Water,71.0,1
India,Explosion (Industrial),9.0,1
India,Earthquake,1500.0,1
India,Road,20.0,1
India,Fire (Miscellaneous),40.0,1
India,Rail,26.0,1
India,Road,20.0,1
India,Storm,125.0,1
Pakistan,Water,28.0,1
Pakistan,Road,14.0,1
Philippines,Flood,10.0,1
Philippines,Storm,65.0,1
Philippines,Storm,5956.0,1
Japan,Storm,11.0,1
Republic Of Korea,Storm,72.0,1
Brazil,Fire (Miscellaneous),24.0,1
Brazil,Air,16.0,1
Brazil,Air,16.0,1
Brazil,Infestation,,1
Colombia,Earthquake,2.0,1
Colombia,Collapse (Industrial),15.0,1
Peru,Fire (Industrial),12.0,1
Venezuela (Bolivarian Republic Of),Road,12.0,1
El Salvador,Epidemic,155.0,1
Albania,Fire (Industrial),60.0,1
France,Rail,24.0,1
Belgium,Poisoning,,1
Germany,Air,28.0,1
Romania,Earthquake,,1
Spain,Road,17.0,1
Mexico,Miscellaneous accident (General),30.0,1
Mexico,Rail,75.0,1
Mexico,Storm,13.0,1
Panama,Epidemic,43.0,1
United States Of America,Storm,17.0,1
Canada,Epidemic,18.0,1
Russian Federation,Air,37.0,1
Russian Federation,Air,36.0,1
Russian Federation,Air,34.0,1
Russian Federation,Water,20.0,1
Nigeria,Road,42.0,1
Nigeria,Water,30.0,1
Indonesia,Volcanic activity,,1
Indonesia,Wildfire,57.0,1
Kenya,Epidemic,26.0,1
Côte D’Ivoire,Epidemic,16.0,1
United States Of America,Storm,15.0,1
United States Of America,Storm,2.0,1
United States Of America,Chemical spill,,1
United States Of America,Wildfire,2.0,1
United States Of America,Wildfire,26.0,1
United States Of America,Rail,5.0,1
Mexico,Chemical spill,,1
India,Flood,60.0,1
Bangladesh,Extreme temperature,182.0,1
Iran (Islamic Republic Of),Flood,22.0,1
Congo,Rail,110.0,1
Egypt,Collapse (Miscellaneous),,1
Viet Nam,Storm,251.0,1
Egypt,Water,460.0,1
Ethiopia,Fire (Miscellaneous),,1
Pakistan,Explosion (Industrial),18.0,1
Bangladesh,Water,40.0,1
Mexico,Flood,,1
United Kingdom Of Great Britain And Northern Ireland,Road,12.0,1
Marshall Islands,Storm,,1
Bangladesh,Road,27.0,1
Republic Of Korea,Explosion (Industrial),120.0,1
China,Water,32.0,1
Ghana,Road,61.0,1
Ghana,Epidemic,20.0,1
United Kingdom Of Great Britain And Northern Ireland,Rail,,1
Switzerland,Chemical spill,,1
Brazil,Mass movement (wet),24.0,1
Nicaragua,Wildfire,,1
United Kingdom Of Great Britain And Northern Ireland,Extreme temperature,,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Flood,,1
United States Of America,Storm,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
Afghanistan,Flood,50.0,1
United States Of America,Flood,,1
France,Extreme temperature,,1
Afghanistan,Earthquake,24.0,1
Soviet Union,Earthquake,1.0,1
United States Of America,Flood,,1
United States Of America,Storm,33.0,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Flood,,1
United States Of America,Storm,,1
India,Flood,99.0,1
Bangladesh,Water,200.0,1
Indonesia,Flood,97.0,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,,1
Philippines,Storm,47.0,1
China,Storm,33.0,1
Austria,Storm,,1
Philippines,Storm,4.0,1
Soviet Union,Flood,2.0,1
Philippines,Storm,9.0,1
Japan,Storm,,1
India,Flood,524.0,1
Thailand,Flood,16.0,1
India,Flood,88.0,1
Philippines,Flood,50.0,1
Canada,Storm,,1
Japan,Storm,6.0,1
Japan,Storm,18.0,1
Viet Nam,Flood,136.0,1
Japan,Storm,66.0,1
United States Of America,Storm,,1
Mexico,Flood,23.0,1
Iran (Islamic Republic Of),Flood,28.0,1
United States Of America,Storm,2.0,1
United States Of America,Storm,,1
Türkiye,Storm,1.0,1
Iran (Islamic Republic Of),Storm,22.0,1
Jordan,Storm,2.0,1
Israel,Storm,5.0,1
Guatemala,Explosion (Industrial),21.0,1
Czechoslovakia,Explosion (Industrial),20.0,1
Republic Of Korea,Explosion (Industrial),,1
Philippines,Fire (Industrial),20.0,1
Myanmar,Fire (Industrial),20.0,1
Thailand,Fire (Miscellaneous),20.0,1
Brazil,Explosion (Industrial),24.0,1
India,Fire (Industrial),37.0,1
Iran (Islamic Republic Of),Fire (Miscellaneous),,1
United States Of America,Explosion (Industrial),25.0,1
Indonesia,Fire (Miscellaneous),38.0,1
India,Explosion (Miscellaneous),30.0,1
Democratic People'S Republic Of Korea,Explosion (Industrial),110.0,1
Netherlands (Kingdom Of The),Explosion (Industrial),6.0,1
India,Fire (Industrial),22.0,1
Venezuela (Bolivarian Republic Of),Air,22.0,1
Ecuador,Air,22.0,1
Angola,Air,47.0,1
Afghanistan,Air,30.0,1
Malta,Water,12.0,1
Peru,Water,49.0,1
Japan,Water,23.0,1
United Republic Of Tanzania,Water,49.0,1
Gabon,Water,72.0,1
Republic Of Korea,Water,32.0,1
Viet Nam,Water,28.0,1
India,Water,20.0,1
Taiwan (Province Of China),Water,10.0,1
Australia,Water,27.0,1
China,Water,17.0,1
China,Water,22.0,1
Réunion,Water,25.0,1
Solomon Islands,Water,33.0,1
Réunion,Water,20.0,1
Pakistan,Water,67.0,1
Mali,Water,52.0,1
Cuba,Water,135.0,1
Portugal,Water,26.0,1
China,Water,27.0,1
Egypt,Road,20.0,1
Colombia,Road,27.0,1
Kenya,Road,24.0,1
Kenya,Road,46.0,1
Iran (Islamic Republic Of),Road,26.0,1
Türkiye,Road,22.0,1
Brazil,Road,37.0,1
Namibia,Road,20.0,1
India,Road,50.0,1
India,Rail,35.0,1
Ghana,Road,23.0,1
Kenya,Road,20.0,1
Venezuela (Bolivarian Republic Of),Water,36.0,1
Bangladesh,Road,63.0,1
Sri Lanka,Road,20.0,1
Pakistan,Road,21.0,1
Pakistan,Road,20.0,1
Brazil,Road,35.0,1
Ethiopia,Rail,50.0,1
India,Road,40.0,1
Ecuador,Road,10.0,1
Türkiye,Road,50.0,1
Bangladesh,Road,30.0,1
Republic Of Korea,Road,20.0,1
Colombia,Road,25.0,1
Taiwan (Province Of China),Rail,33.0,1
India,Explosion (Miscellaneous),70.0,1
Bangladesh,Rail,30.0,1
Kenya,Road,30.0,1
Bolivia (Plurinational State Of),Collapse (Industrial),25.0,1
China,Explosion (Industrial),147.0,1
Soviet Union,Fire (Industrial),31.0,1
China,Collapse (Miscellaneous),23.0,1
India,Collapse (Miscellaneous),52.0,1
Colombia,Collapse (Miscellaneous),24.0,1
Indonesia,Epidemic,48.0,1
Indonesia,Epidemic,41.0,1
Nepal,Epidemic,1334.0,1
Guatemala,Epidemic,180.0,1
Indonesia,Epidemic,35.0,1
United States Of America,Miscellaneous accident (General),22.0,1
India,Poisoning,100.0,1
United Republic Of Tanzania,Epidemic,290.0,1
Yemen,Earthquake,10.0,1
New Zealand,Flood,,1
India,Epidemic,185.0,1
Indonesia,Flood,15.0,1
Yemen,Flood,,1
Bolivia (Plurinational State Of),Epidemic,329.0,1
Nicaragua,Epidemic,2.0,1
Venezuela (Bolivarian Republic Of),Epidemic,18.0,1
Australia,Storm,,1
Lao People'S Democratic Republic,Storm,,1
Nepal,Flood,51.0,1
Nepal,Storm,6.0,1
Nepal,Fire (Miscellaneous),41.0,1
Philippines,Flood,10.0,1
Thailand,Flood,1.0,1
Thailand,Storm,38.0,1
Viet Nam,Storm,8.0,1
Viet Nam,Storm,21.0,1
Türkiye,Flood,42.0,1
India,Water,43.0,1
Portugal,Wildfire,,1
Ukraine,Fire (Industrial),32.0,1
Italy,Volcanic activity,,1
China,Poisoning,1.0,1
Lao People'S Democratic Republic,Flood,,1
Mauritania,Storm,4.0,1
Iran (Islamic Republic Of),Flood,,1
Bangladesh,Flood,200.0,1
Argentina,Volcanic activity,,1
India,Flood,84.0,1
China,Flood,106.0,1
United Republic Of Tanzania,Epidemic,284.0,1
Rwanda,Epidemic,32.0,1
Pakistan,Flood,24.0,1
Malaysia,Epidemic,263.0,1
Malaysia,Water,120.0,1
Costa Rica,Earthquake,,1
Panama,Earthquake,,1
Romania,Earthquake,,1
China,Storm,39.0,1
United States Of America,Flood,15.0,1
Chile,Drought,,1
Thailand,Drought,,1
Kenya,Drought,,1
China,Drought,2000.0,1
Mali,Drought,,1
United States Of America,Drought,,1
United States Of America,Drought,,1
Sudan,Drought,,1
Australia,Drought,,1
Vanuatu,Storm,2.0,1
Italy,Road,7.0,1
Puerto Rico,Flood,18.0,1
Azerbaijan,Water,30.0,1
Lebanon,Storm,25.0,1
Türkiye,Mass movement (dry),261.0,1
Algeria,Flood,21.0,1
Algeria,Earthquake,,1
Brazil,Flood,41.0,1
Brazil,Flood,25.0,1
Argentina,Flood,45.0,1
Cuba,Flood,,1
China,Road,15.0,1
France,Air,87.0,1
Türkiye,Earthquake,653.0,1
Bolivia (Plurinational State Of),Flood,4.0,1
Ecuador,Flood,22.0,1
Nicaragua,Volcanic activity,1.0,1
Türkiye,Explosion (Industrial),272.0,1
Israel,Collapse (Miscellaneous),23.0,1
Israel,Extreme temperature,,1
Bangladesh,Water,40.0,1
Philippines,Volcanic activity,,1
China,Flood,248.0,1
Thailand,Water,112.0,1
United States Of America,Air,27.0,1
Argentina,Epidemic,67.0,1
Brazil,Mass movement (wet),30.0,1
Cambodia,Epidemic,,1
Senegal,Explosion (Industrial),100.0,1
Vanuatu,Storm,,1
Philippines,Flood,60.0,1
Pakistan,Earthquake,4.0,1
Pakistan,Flood,112.0,1
Viet Nam,Storm,14.0,1
Pakistan,Flood,1334.0,1
Afghanistan,Flood,450.0,1
Democratic Republic Of The Congo,Earthquake,9.0,1
Bahamas,Storm,4.0,1
United States Of America,Storm,44.0,1
Cuba,Earthquake,,1
Iran (Islamic Republic Of),Flood,63.0,1
Iran (Islamic Republic Of),Flood,,1
Argentina,Flood,,1
Brazil,Flood,29.0,1
Paraguay,Flood,,1
Panama,Storm,12.0,1
Nicaragua,Earthquake,179.0,1
Uruguay,Flood,,1
Kyrgyzstan,Earthquake,54.0,1
Kyrgyzstan,Earthquake,4.0,1
India,Flood,500.0,1
Canada,Epidemic,17.0,1
Colombia,Road,25.0,1
El Salvador,Epidemic,,1
Belgium,Earthquake,,1
Germany,Earthquake,1.0,1
Netherlands (Kingdom Of The),Earthquake,,1
Guatemala,Volcanic activity,,1
India,Road,39.0,1
India,Storm,25.0,1
Japan,Volcanic activity,,1
Jordan,Extreme temperature,15.0,1
United States Of America,Storm,,1
Mexico,Extreme temperature,50.0,1
Mexico,Explosion (Industrial),200.0,1
Norway,Storm,,1
Russian Federation,Road,17.0,1
Senegal,Air,31.0,1
Sweden,Rail,13.0,1
Tajikistan,Mass movement (dry),12.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,11.0,1
United States Of America,Air,16.0,1
United States Of America,Earthquake,,1
United States Of America,Air,16.0,1
Papua New Guinea,Flood,,1
Croatia,Water,61.0,1
China,Storm,35.0,1
France,Collapse (Miscellaneous),16.0,1
India,Poisoning,200.0,1
Canada,Explosion (Industrial),26.0,1
Sierra Leone,Collapse (Industrial),100.0,1
Nepal,Wildfire,56.0,1
China,Storm,109.0,1
Viet Nam,Storm,17.0,1
Viet Nam,Flood,55.0,1
Viet Nam,Flood,1.0,1
Papua New Guinea,Volcanic activity,,1
India,Flood,51.0,1
Indonesia,Mass movement (wet),75.0,1
Egypt,Earthquake,552.0,1
El Salvador,Flood,2.0,1
Colombia,Earthquake,11.0,1
Cameroon,Epidemic,731.0,1
Central African Republic,Epidemic,56.0,1
Costa Rica,Wildfire,,1
Peru,Flood,,1
Albania,Flood,11.0,1
Bolivia (Plurinational State Of),Mass movement (wet),49.0,1
Fiji,Storm,1.0,1
Indonesia,Earthquake,2500.0,1
Saint Vincent And The Grenadines,Flood,3.0,1
Serbia Montenegro,Flood,1.0,1
Mozambique,Epidemic,587.0,1
Zambia,Epidemic,,1
Eswatini,Epidemic,30.0,1
France,Storm,1.0,1
Japan,Storm,,1
Bangladesh,Storm,7.0,1
United States Of America,Storm,8.0,1
Australia,Storm,,1
United States Of America,Storm,,1
Iran (Islamic Republic Of),Earthquake,5.0,1
United States Of America,Storm,,1
Brazil,Flood,12.0,1
United States Of America,Storm,,1
Pakistan,Mass movement (wet),55.0,1
United States Of America,Storm,,1
Bangladesh,Flood,15.0,1
United States Of America,Storm,,1
Bangladesh,Storm,16.0,1
United States Of America,Storm,,1
"China, Hong Kong Special Administrative Region",Flood,5.0,1
Afghanistan,Flood,150.0,1
United States Of America,Storm,,1
Tajikistan,Mass movement (wet),243.0,1
Thailand,Storm,,1
Afghanistan,Earthquake,14.0,1
Pakistan,Earthquake,36.0,1
United States Of America,Storm,,1
Chile,Storm,,1
Sri Lanka,Flood,14.0,1
Chile,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,,1
China,Flood,88.0,1
India,Storm,60.0,1
United States Of America,Storm,,1
Bangladesh,Flood,2.0,1
United States Of America,Storm,,1
United States Of America,Earthquake,1.0,1
China,Flood,96.0,1
China,Flood,35.0,1
Poland,Wildfire,35.0,1
United States Of America,Storm,,1
China,Storm,448.0,1
New Zealand,Storm,,1
Türkiye,Explosion (Industrial),32.0,1
Cook Islands,Fire (Miscellaneous),,1
Tajikistan,Flood,1346.0,1
Guinea-Bissau,Fire (Miscellaneous),,1
Uzbekistan,Earthquake,9.0,1
Pakistan,Water,200.0,1
Burundi,Epidemic,220.0,1
India,Poisoning,91.0,1
India,Collapse (Miscellaneous),81.0,1
Indonesia,Earthquake,,1
France,Storm,47.0,1
Japan,Earthquake,,1
China,Storm,,1
China,Air,100.0,1
China,Earthquake,,1
Nepal,Epidemic,640.0,1
Nepal,Air,113.0,1
Nepal,Air,167.0,1
Guinea,Water,356.0,1
Cambodia,Epidemic,50.0,1
Haiti,Water,90.0,1
Haiti,Explosion (Industrial),13.0,1
Russian Federation,Poisoning,24.0,1
Russian Federation,Air,82.0,1
Italy,Flood,2.0,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Wildfire,,1
United States Of America,Storm,,1
United States Of America,Storm,6.0,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,27.0,1
United States Of America,Storm,,1
United States Of America,Storm,,1
United States Of America,Storm,12.0,1
Panama,Air,47.0,1
Panama,Epidemic,57.0,1
Russian Federation,Wildfire,31.0,1
Russian Federation,Flood,,1
Russian Federation,Air,31.0,1
Russian Federation,Air,29.0,1
Russian Federation,Rail,41.0,1
Russian Federation,Explosion (Industrial),25.0,1
Iran (Islamic Republic Of),Rail,27.0,1
Iran (Islamic Republic Of),Air,39.0,1
Bangladesh,Epidemic,200.0,1
Bangladesh,Road,100.0,1
Bangladesh,Water,100.0,1
Bangladesh,Water,30.0,1
Bangladesh,Flood,,1
Philippines,Epidemic,70.0,1
Philippines,Storm,22.0,1
Philippines,Storm,42.0,1
China,Flood,48.0,1
China,Flood,25.0,1
China,Storm,47.0,1
China,Mass movement (dry),49.0,1
China,Storm,53.0,1
China,Explosion (Industrial),22.0,1
China,Air,33.0,1
China,Air,141.0,1
China,Water,38.0,1
China,Road,55.0,1
China,Explosion (Industrial),28.0,1
China,Explosion (Industrial),45.0,1
China,Explosion (Industrial),20.0,1
Viet Nam,Water,29.0,1
Viet Nam,Air,29.0,1
Viet Nam,Mass movement (wet),200.0,1
Japan,Storm,11.0,1
India,Collapse (Miscellaneous),22.0,1
India,Collapse (Miscellaneous),35.0,1
India,Collapse (Miscellaneous),47.0,1
India,Rail,20.0,1
India,Road,19.0,1
India,Road,50.0,1
India,Road,23.0,1
India,Rail,21.0,1
India,Road,14.0,1
India,Road,30.0,1
India,Road,35.0,1
India,Explosion (Industrial),25.0,1
India,Explosion (Miscellaneous),21.0,1
India,Explosion (Industrial),25.0,1
India,Fire (Miscellaneous),36.0,1
India,Mass movement (wet),60.0,1
India,Flood,16.0,1
Pakistan,Rail,15.0,1
